W;BOLD055_A;BOLD062_A;BOLD062_B;BOLD062_C
394;0,003124095;0,000250081;1,58611E-05;5,63319E-05
392;0,003073916;0,000236277;1,27738E-05;4,19861E-05
390;0,003061381;0,000242429;2,80763E-05;5,92026E-05
388;0,003041283;0,000250155;3,12692E-05;6,1672E-05
386;0,003041855;0,000254508;3,8314E-05;7,35677E-05
384;0,003035896;0,000239857;2,6489E-05;6,04365E-05
382;0,003082242;0,000252274;4,45957E-05;7,60709E-05
380;0,003111569;0,000267038;4,42323E-05;7,61474E-05
378;0,003166997;0,000277143;4,99849E-05;7,55044E-05
376;0,003216795;0,000260283;4,19322E-05;6,25278E-05
374;0,003294257;0,000287669;5,69652E-05;7,37599E-05
372;0,003365912;0,000287881;5,59066E-05;6,9818E-05
370;0,003442509;0,000287848;5,10072E-05;7,21709E-05
368;0,003510152;0,0003013;6,50839E-05;6,63687E-05
366;0,003572636;0,00030231;6,9154E-05;7,57901E-05
364;0,003638162;0,000319918;9,07159E-05;8,63002E-05
362;0,003669378;0,00032525;7,13011E-05;7,3697E-05
360;0,003693428;0,000335284;9,4229E-05;7,78093E-05
358;0,003693767;0,000312251;7,10458E-05;6,02968E-05
356;0,003709538;0,00033135;7,9601E-05;7,46183E-05
354;0,00369511;0,000329823;7,98866E-05;6,60358E-05
352;0,0036847;0,000326426;8,81761E-05;7,30451E-05
350;0,003653373;0,000316335;7,99615E-05;6,33484E-05
348;0,003670401;0,00044619;0,000168734;7,10501E-05
346;0,003676676;0,000468926;0,000185745;9,19544E-05
344;0,003673843;0,000466686;0,000193236;8,85039E-05
342;0,003633574;0,00045102;0,000168263;6,17558E-05
340;0,003636614;0,000465511;0,000198558;7,595E-05
338;0,00368072;0,000485226;0,000224494;9,30185E-05
336;0,003732481;0,000481292;0,00021993;9,37395E-05
334;0,003840392;0,000498868;0,00024306;9,61884E-05
332;0,003989394;0,000521968;0,000247213;9,55703E-05
330;0,004232305;0,000549508;0,000277165;9,07807E-05
328;0,004588614;0,000601115;0,0002976;9,70753E-05
326;0,005052008;0,000646394;0,000307619;9,38268E-05
324;0,005696483;0,000710261;0,000334862;7,95302E-05
322;0,006525422;0,000819224;0,000382475;9,39531E-05
320;0,007544208;0,000941982;0,000437409;0,000116183
318;0,008653898;0,001120668;0,000537829;0,000142195
316;0,009751487;0,001260497;0,000591791;0,000147099
314;0,010714222;0,001417894;0,000632654;0,000166689
312;0,011504834;0,001509573;0,00067149;0,000149311
310;0,012157594;0,001653909;0,000734389;0,000184661
308;0,012616935;0,00169884;0,000742176;0,000169811
306;0,01308497;0,001768124;0,000779626;0,000197417
304;0,013572352;0,001830028;0,000797679;0,000187105
302;0,014111935;0,001843474;0,000789229;0,000162898
300;0,014774966;0,001922044;0,000788738;0,000147539
