λ	T
400.8	1.0177e-06
401.0	8.4566e-07
401.2	7.027e-07
401.4	5.8391e-07
401.6	4.8519e-07
401.8	4.0317e-07
402.0	3.3501e-07
402.2	2.7838e-07
402.4	2.3132e-07
402.6	1.9221e-07
402.8	1.5972e-07
403.0	1.3272e-07
403.2	1.1028e-07
403.4	9.1638e-08
403.6	7.6147e-08
403.8	6.3274e-08
404.0	5.2577e-08
404.2	4.3689e-08
404.4	3.6303e-08
404.6	3.0166e-08
404.8	2.5066e-08
405.0	2.0829e-08
405.2	2.1987e-08
405.4	2.455e-08
405.6	2.7411e-08
405.8	3.0606e-08
406.0	3.4174e-08
406.2	3.8157e-08
406.4	4.2605e-08
406.6	4.7571e-08
406.8	5.3115e-08
407.0	5.9306e-08
407.2	6.6219e-08
407.4	7.3937e-08
407.6	8.2555e-08
407.8	9.2178e-08
408.0	1.0292e-07
408.2	1.1492e-07
408.4	1.2831e-07
408.6	1.4327e-07
408.8	1.5997e-07
409.0	1.7861e-07
409.2	1.9943e-07
409.4	2.2268e-07
409.6	2.4863e-07
409.8	2.7761e-07
410.0	3.0997e-07
410.2	3.0483e-07
410.4	2.9154e-07
410.6	2.7883e-07
410.8	2.6667e-07
411.0	2.5504e-07
411.2	2.4392e-07
411.4	2.3328e-07
411.6	2.2311e-07
411.8	2.1338e-07
412.0	2.0407e-07
412.2	1.9518e-07
412.4	1.8666e-07
412.6	1.7852e-07
412.8	1.7074e-07
413.0	1.6329e-07
413.2	1.5617e-07
413.4	1.4936e-07
413.6	1.4285e-07
413.8	1.3662e-07
414.0	1.3066e-07
414.2	1.2496e-07
414.4	1.1952e-07
414.6	1.143e-07
414.8	1.0932e-07
415.0	1.0455e-07
415.2	9.9993e-08
415.4	9.5632e-08
415.6	9.1462e-08
415.8	8.7226e-08
416.0	8.2082e-08
416.2	7.7242e-08
416.4	7.2687e-08
416.6	6.8401e-08
416.8	6.4367e-08
417.0	6.0571e-08
417.2	5.6999e-08
417.4	5.3638e-08
417.6	5.0475e-08
417.8	4.7498e-08
418.0	4.4697e-08
418.2	4.2062e-08
418.4	3.9581e-08
418.6	3.7247e-08
418.8	3.5051e-08
419.0	3.2984e-08
419.2	3.1039e-08
419.4	2.9567e-08
419.6	2.8533e-08
419.8	2.7536e-08
420.0	2.6573e-08
420.2	2.5643e-08
420.4	2.4747e-08
420.6	2.3881e-08
420.8	2.3046e-08
421.0	2.224e-08
421.2	2.1463e-08
421.4	2.0712e-08
421.6	1.9988e-08
421.8	1.9289e-08
422.0	1.8614e-08
422.2	1.7963e-08
422.4	1.7335e-08
422.6	1.6729e-08
422.8	1.6144e-08
423.0	1.5579e-08
423.2	1.5035e-08
423.4	1.4509e-08
423.6	1.4646e-08
423.8	1.9274e-08
424.0	2.5365e-08
424.2	3.3381e-08
424.4	4.393e-08
424.6	5.7812e-08
424.8	7.6082e-08
425.0	1.0013e-07
425.2	1.3177e-07
425.4	1.7341e-07
425.6	2.2821e-07
425.8	3.0033e-07
426.0	3.9523e-07
426.2	5.2013e-07
426.4	6.8451e-07
426.6	9.0082e-07
426.8	1.1855e-06
427.0	1.5601e-06
427.2	1.6114e-06
427.4	1.6643e-06
427.6	1.7189e-06
427.8	1.7754e-06
428.0	1.8337e-06
428.2	1.8939e-06
428.4	1.9561e-06
428.6	2.0203e-06
428.8	2.0867e-06
429.0	2.1552e-06
429.2	2.2259e-06
429.4	2.299e-06
429.6	2.3745e-06
429.8	2.4525e-06
430.0	2.533e-06
430.2	2.618e-06
430.4	2.735e-06
430.6	2.8573e-06
430.8	2.985e-06
431.0	3.1184e-06
431.2	3.2578e-06
431.4	3.4035e-06
431.6	3.5556e-06
431.8	3.7145e-06
432.0	3.8806e-06
432.2	4.054e-06
432.4	4.2352e-06
432.6	4.4245e-06
432.8	4.6223e-06
433.0	4.8289e-06
433.2	5.0448e-06
433.4	5.2703e-06
433.6	5.5059e-06
433.8	5.752e-06
434.0	5.8788e-06
434.2	5.8927e-06
434.4	5.9067e-06
434.6	5.9207e-06
434.8	5.9348e-06
435.0	5.9489e-06
435.2	5.963e-06
435.4	5.9771e-06
435.6	5.9913e-06
435.8	6.0055e-06
436.0	6.0198e-06
436.2	6.0341e-06
436.4	6.0484e-06
436.6	6.0627e-06
436.8	6.0771e-06
437.0	6.0915e-06
437.2	6.106e-06
437.4	6.1205e-06
437.6	6.1354e-06
437.8	6.1768e-06
438.0	6.2185e-06
438.2	6.2605e-06
438.4	6.3027e-06
438.6	6.3452e-06
438.8	6.3881e-06
439.0	6.4312e-06
439.2	6.4746e-06
439.4	6.5183e-06
439.6	6.5623e-06
439.8	6.6066e-06
440.0	6.6511e-06
440.2	6.696e-06
440.4	6.7412e-06
440.6	6.7867e-06
440.8	6.8325e-06
441.0	6.8786e-06
441.2	6.9251e-06
441.4	6.9676e-06
441.6	7.0063e-06
441.8	7.0452e-06
442.0	7.0843e-06
442.2	7.1236e-06
442.4	7.1632e-06
442.6	7.2029e-06
442.8	7.2429e-06
443.0	7.2831e-06
443.2	7.3235e-06
443.4	7.3642e-06
443.6	7.4051e-06
443.8	7.4462e-06
444.0	7.4875e-06
444.2	7.5291e-06
444.4	7.5709e-06
444.6	7.6129e-06
444.8	7.6552e-06
445.0	7.6977e-06
445.2	7.7443e-06
445.4	7.7913e-06
445.6	7.8385e-06
445.8	7.8859e-06
446.0	7.9337e-06
446.2	7.9818e-06
446.4	8.0301e-06
446.6	8.0788e-06
446.8	8.1277e-06
447.0	8.177e-06
447.2	8.2265e-06
447.4	8.2763e-06
447.6	8.3265e-06
447.8	8.3769e-06
448.0	8.4277e-06
448.2	8.4787e-06
448.4	8.5301e-06
448.6	8.5818e-06
448.8	8.6074e-06
449.0	8.6089e-06
449.2	8.6104e-06
449.4	8.6119e-06
449.6	8.6133e-06
449.8	8.6148e-06
450.0	8.6163e-06
450.2	8.6178e-06
450.4	8.6192e-06
450.6	8.6207e-06
450.8	8.6222e-06
451.0	8.6237e-06
451.2	8.6251e-06
451.4	8.6266e-06
451.6	8.6281e-06
451.8	8.6296e-06
452.0	8.631e-06
452.2	8.6325e-06
452.4	8.6337e-06
452.6	8.6291e-06
452.8	8.6245e-06
453.0	8.6199e-06
453.2	8.6154e-06
453.4	8.6108e-06
453.6	8.6062e-06
453.8	8.6016e-06
454.0	8.597e-06
454.2	8.5925e-06
454.4	8.5879e-06
454.6	8.5833e-06
454.8	8.5788e-06
455.0	8.5742e-06
455.2	8.5696e-06
455.4	8.5651e-06
455.6	8.5605e-06
455.8	8.556e-06
456.0	8.5514e-06
456.2	8.5706e-06
456.4	8.6074e-06
456.6	8.6443e-06
456.8	8.6814e-06
457.0	8.7187e-06
457.2	8.7561e-06
457.4	8.7937e-06
457.6	8.8315e-06
457.8	8.8694e-06
458.0	8.9075e-06
458.2	8.9457e-06
458.4	8.9841e-06
458.6	9.0227e-06
458.8	9.0614e-06
459.0	9.1003e-06
459.2	9.1394e-06
459.4	9.1787e-06
459.6	9.2181e-06
459.8	9.2537e-06
460.0	9.261e-06
460.2	9.2683e-06
460.4	9.2756e-06
460.6	9.2829e-06
460.8	9.2902e-06
461.0	9.2975e-06
461.2	9.3048e-06
461.4	9.3121e-06
461.6	9.3194e-06
461.8	9.3267e-06
462.0	9.3341e-06
462.2	9.3414e-06
462.4	9.3487e-06
462.6	9.3561e-06
462.8	9.3634e-06
463.0	9.3708e-06
463.2	9.3782e-06
463.4	9.3855e-06
463.6	9.2586e-06
463.8	9.0688e-06
464.0	8.8829e-06
464.2	8.7008e-06
464.4	8.5224e-06
464.6	8.3477e-06
464.8	8.1765e-06
465.0	8.0089e-06
465.2	7.8447e-06
465.4	7.6839e-06
465.6	7.5264e-06
465.8	7.3721e-06
466.0	7.2209e-06
466.2	7.0729e-06
466.4	6.9279e-06
466.6	6.7859e-06
466.8	6.6468e-06
467.0	6.5105e-06
467.2	5.1771e-06
467.4	2.0887e-06
467.6	8.4265e-07
467.8	3.3996e-07
468.0	1.3715e-07
468.2	1.4481e-07
468.4	1.529e-07
468.6	1.6144e-07
468.8	1.7046e-07
469.0	1.7998e-07
469.2	1.9003e-07
469.4	2.0064e-07
469.6	2.1185e-07
469.8	2.2368e-07
470.0	2.3618e-07
470.2	2.4937e-07
470.4	2.6329e-07
470.6	2.7844e-07
470.8	2.9845e-07
471.0	3.199e-07
471.2	3.4289e-07
471.4	3.6753e-07
471.6	3.9394e-07
471.8	4.2225e-07
472.0	4.526e-07
472.2	4.8513e-07
472.4	5.1999e-07
472.6	5.5736e-07
472.8	5.9741e-07
473.0	6.4035e-07
473.2	6.8637e-07
473.4	7.3569e-07
473.6	7.8857e-07
473.8	8.4524e-07
474.0	9.0598e-07
474.2	9.7109e-07
474.4	9.2159e-07
474.6	8.1427e-07
474.8	7.1945e-07
475.0	6.3567e-07
475.2	5.6165e-07
475.4	4.9624e-07
475.6	4.3846e-07
475.8	3.874e-07
476.0	3.4229e-07
476.2	3.0243e-07
476.4	2.6721e-07
476.6	2.361e-07
476.8	2.086e-07
477.0	1.8431e-07
477.2	1.6285e-07
477.4	1.4388e-07
477.6	1.2713e-07
477.8	1.1233e-07
478.0	1.0266e-07
478.2	1.107e-07
478.4	1.1937e-07
478.6	1.2871e-07
478.8	1.3879e-07
479.0	1.4965e-07
479.2	1.6137e-07
479.4	1.74e-07
479.6	1.8762e-07
479.8	2.0231e-07
480.0	2.1815e-07
480.2	2.3523e-07
480.4	2.5364e-07
480.6	2.735e-07
480.8	2.9491e-07
481.0	3.18e-07
481.2	3.429e-07
481.4	3.6974e-07
481.6	3.9869e-07
481.8	3.9178e-07
482.0	3.7101e-07
482.2	3.5134e-07
482.4	3.3272e-07
482.6	3.1508e-07
482.8	2.9837e-07
483.0	2.8256e-07
483.2	2.6758e-07
483.4	2.5339e-07
483.6	2.3996e-07
483.8	2.2724e-07
484.0	2.1519e-07
484.2	2.0378e-07
484.4	1.9298e-07
484.6	1.8275e-07
484.8	1.7306e-07
485.0	1.6388e-07
485.2	1.552e-07
485.4	1.4868e-07
485.6	1.4684e-07
485.8	1.4503e-07
486.0	1.4323e-07
486.2	1.4146e-07
486.4	1.3971e-07
486.6	1.3799e-07
486.8	1.3628e-07
487.0	1.346e-07
487.2	1.3294e-07
487.4	1.3129e-07
487.6	1.2967e-07
487.8	1.2807e-07
488.0	1.2649e-07
488.2	1.2492e-07
488.4	1.2338e-07
488.6	1.2185e-07
488.8	1.2035e-07
489.0	1.1886e-07
489.2	1.177e-07
489.4	1.1662e-07
489.6	1.1554e-07
489.8	1.1448e-07
490.0	1.1342e-07
490.2	1.1237e-07
490.4	1.1133e-07
490.6	1.1031e-07
490.8	1.0929e-07
491.0	1.0828e-07
491.2	1.0728e-07
491.4	1.0629e-07
491.6	1.0531e-07
491.8	1.0434e-07
492.0	1.0338e-07
492.2	1.0242e-07
492.4	1.0148e-07
492.6	1.0054e-07
492.8	9.7631e-08
493.0	9.2214e-08
493.2	8.7097e-08
493.4	8.2265e-08
493.6	7.77e-08
493.8	7.3389e-08
494.0	6.9317e-08
494.2	6.5471e-08
494.4	6.1838e-08
494.6	5.8407e-08
494.8	5.5166e-08
495.0	5.2105e-08
495.2	4.9214e-08
495.4	4.6484e-08
495.6	4.3905e-08
495.8	4.1468e-08
496.0	3.9168e-08
496.2	3.6994e-08
496.4	3.4967e-08
496.6	3.5483e-08
496.8	3.6007e-08
497.0	3.6539e-08
497.2	3.7079e-08
497.4	3.7627e-08
497.6	3.8183e-08
497.8	3.8747e-08
498.0	3.9319e-08
498.2	3.99e-08
498.4	4.0489e-08
498.6	4.1087e-08
498.8	4.1694e-08
499.0	4.231e-08
499.2	4.2935e-08
499.4	4.3569e-08
499.6	4.4213e-08
499.8	4.4866e-08
500.0	4.5529e-08
500.2	5.3629e-08
500.4	6.3169e-08
500.6	7.4407e-08
500.8	8.7644e-08
501.0	8.8339e-08
501.2	8.8312e-08
501.4	8.8285e-08
501.6	8.8258e-08
501.8	8.8231e-08
502.0	8.8204e-08
502.2	8.8177e-08
502.4	8.815e-08
502.6	8.8123e-08
502.8	8.8096e-08
503.0	8.8069e-08
503.2	8.8042e-08
503.4	8.8015e-08
503.6	8.7988e-08
503.8	8.7961e-08
504.0	8.7934e-08
504.2	8.7907e-08
504.4	8.788e-08
504.6	8.8155e-08
504.8	8.8754e-08
505.0	8.9357e-08
505.2	8.9964e-08
505.4	9.0576e-08
505.6	9.1191e-08
505.8	9.1811e-08
506.0	9.2435e-08
506.2	9.3063e-08
506.4	9.3695e-08
506.6	9.4332e-08
506.8	9.4973e-08
507.0	9.5619e-08
507.2	9.6268e-08
507.4	9.6923e-08
507.6	9.7581e-08
507.8	9.8244e-08
508.0	9.8912e-08
508.2	9.9604e-08
508.4	1.0095e-07
508.6	1.0231e-07
508.8	1.0369e-07
509.0	1.0509e-07
509.2	1.0651e-07
509.4	1.0795e-07
509.6	1.0941e-07
509.8	1.1089e-07
510.0	1.1239e-07
510.2	1.139e-07
510.4	1.1544e-07
510.6	1.17e-07
510.8	1.1858e-07
511.0	1.2018e-07
511.2	1.2181e-07
511.4	1.2345e-07
511.6	1.2512e-07
511.8	1.2681e-07
512.0	1.2756e-07
512.2	1.2764e-07
512.4	1.2772e-07
512.6	1.2779e-07
512.8	1.2787e-07
513.0	1.2795e-07
513.2	1.2802e-07
513.4	1.281e-07
513.6	1.2818e-07
513.8	1.2826e-07
514.0	1.2833e-07
514.2	1.2841e-07
514.4	1.2849e-07
514.6	1.2857e-07
514.8	1.2864e-07
515.0	1.2872e-07
515.2	1.288e-07
515.4	1.2888e-07
515.6	1.2953e-07
515.8	1.3354e-07
516.0	1.3767e-07
516.2	1.4193e-07
516.4	1.4633e-07
516.6	1.5085e-07
516.8	1.5552e-07
517.0	1.6034e-07
517.2	1.653e-07
517.4	1.7041e-07
517.6	1.7569e-07
517.8	1.8112e-07
518.0	1.8673e-07
518.2	1.9251e-07
518.4	1.9846e-07
518.6	2.046e-07
518.8	2.1094e-07
519.0	2.1746e-07
519.2	2.2419e-07
519.4	2.2364e-07
519.6	2.2038e-07
519.8	2.1716e-07
520.0	2.14e-07
520.2	2.1088e-07
520.4	2.0781e-07
520.6	2.0478e-07
520.8	2.0179e-07
521.0	1.9885e-07
521.2	1.9595e-07
521.4	1.931e-07
521.6	1.9028e-07
521.8	1.8751e-07
522.0	1.8477e-07
522.2	1.8208e-07
522.4	1.7943e-07
522.6	1.7681e-07
522.8	1.7423e-07
523.0	1.7323e-07
523.2	1.7561e-07
523.4	1.7802e-07
523.6	1.8046e-07
523.8	1.8294e-07
524.0	1.8544e-07
524.2	1.8799e-07
524.4	1.9057e-07
524.6	1.9318e-07
524.8	1.9583e-07
525.0	1.9852e-07
525.2	2.0124e-07
525.4	2.04e-07
525.6	2.068e-07
525.8	2.0964e-07
526.0	2.1251e-07
526.2	2.1543e-07
526.4	2.1838e-07
526.6	2.2138e-07
526.8	2.2393e-07
527.0	2.2645e-07
527.2	2.2901e-07
527.4	2.316e-07
527.6	2.3421e-07
527.8	2.3686e-07
528.0	2.3953e-07
528.2	2.4224e-07
528.4	2.4497e-07
528.6	2.4774e-07
528.8	2.5053e-07
529.0	2.5336e-07
529.2	2.5622e-07
529.4	2.5912e-07
529.6	2.6204e-07
529.8	2.65e-07
530.0	2.6799e-07
530.2	2.7102e-07
530.4	2.7401e-07
530.6	2.7696e-07
530.8	2.7994e-07
531.0	2.8295e-07
531.2	2.86e-07
531.4	2.8908e-07
531.6	2.922e-07
531.8	2.9534e-07
532.0	2.9852e-07
532.2	3.0174e-07
532.4	3.0499e-07
532.6	3.0827e-07
532.8	3.1159e-07
533.0	3.1495e-07
533.2	3.1834e-07
533.4	3.2177e-07
533.6	3.2523e-07
533.8	3.2874e-07
534.0	3.3247e-07
534.2	3.375e-07
534.4	3.426e-07
534.6	3.4778e-07
534.8	3.5304e-07
535.0	3.5837e-07
535.2	3.6379e-07
535.4	3.6929e-07
535.6	3.7488e-07
535.8	3.8054e-07
536.0	3.863e-07
536.2	3.9214e-07
536.4	3.9807e-07
536.6	4.0409e-07
536.8	4.102e-07
537.0	4.164e-07
537.2	4.2269e-07
537.4	4.2908e-07
537.6	4.3557e-07
537.8	4.4268e-07
538.0	4.5007e-07
538.2	4.5758e-07
538.4	4.6522e-07
538.6	4.7299e-07
538.8	4.8089e-07
539.0	4.8891e-07
539.2	4.9708e-07
539.4	5.0537e-07
539.6	5.1381e-07
