λ;T
468;2,13E-04
467;0,00202
466;1,06E-04
465;8,52E-04
464;9,59E-04
463;9,59E-04
462;2,13E-04
461;0,00107
460;1,07E-04
459;0,00288
458;5,33E-04
457;0,00181
456;0
455;6,41E-04
454;8,54E-04
453;0,00192
452;8,55E-04
451;0,00171
450;2,14E-04
449;0
448;6,42E-04
447;0,00289
446;0
445;3,21E-04
444;0,00107
443;2,14E-04
442;6,43E-04
441;0,00279
440;5,36E-04
439;0,00182
438;0,00107
437;4,29E-04
436;6,44E-04
435;0,00129
434;0,00193
433;0,00344
432;6,45E-04
431;2,15E-04
430;0,00118
429;0,00269
428;0,0014
427;0,00269
426;0,00151
425;0,00237
424;3,23E-04
423;0,00151
422;0,0014
421;0,00259
420;0,00259
419;0,00129
418;2,16E-04
417;0,00151
416;0,00173
415;0,00357
414;0,00389
413;0,00173
412;0,00162
411;0,00162
410;4,33E-04
409;0,00347
408;0,00119
407;0,00563
406;1,08E-04
405;5,42E-04
404;9,76E-04
403;0,00391
402;8,69E-04
401;0,00261
400;0,00304
