λ	T
455.2	1e-07
455.4	1e-07
455.6	1.88851940561158e-07
455.8	1.35635053841695e-07
456	1.3001572663175e-07
456.2	4.38235593507468e-07
456.4	3.60896297784526e-07
456.6	1.40669680054233e-07
456.8	1.26394631252982e-07
457	1.49830397572324e-07
457.2	1e-07
457.4	1e-07
457.6	1e-07
457.8	1e-07
458	1e-07
458.2	1e-07
458.4	1e-07
458.6	1e-07
458.8	1e-07
459	1.46018063849296e-07
459.2	1.69894877243716e-07
459.4	1e-07
459.6	1e-07
459.8	1e-07
460	1e-07
460.2	1.51801811100006e-07
460.4	5.05731923545538e-07
460.6	5.52663238179353e-07
460.8	2.22611200918283e-07
461	1.42359709699022e-07
461.2	1.36534227158774e-07
461.4	1.84035740035724e-07
461.6	3.33484988078732e-07
461.8	5.85479374215925e-07
462	4.98208073837901e-07
462.2	3.3380294170464e-07
462.4	2.93104513409101e-07
462.6	3.60037349073573e-07
462.8	5.72855769162051e-07
463	7.09630351276153e-07
463.2	4.49666943946713e-07
463.4	2.84106483126698e-07
463.6	2.4504923996078e-07
463.8	2.9996959056551e-07
464	4.80569961910142e-07
464.2	5.04488514694196e-07
464.4	2.48661084063924e-07
464.6	1.38660928334043e-07
464.8	1.12213512860768e-07
465	1.41972915103422e-07
465.2	3.50748916480993e-07
465.4	5.44172149314224e-07
465.6	1e-07
465.8	1e-07
466	1e-07
466.2	1e-07
466.4	1e-07
466.6	1e-07
466.8	1e-07
467	1e-07
467.2	1e-07
467.4	1e-07
467.6	1e-07
467.8	1e-07
468	1.42395705407108e-07
468.2	1e-07
468.4	1e-07
468.6	1e-07
468.8	1e-07
469	1e-07
469.2	1e-07
469.4	1e-07
469.6	1e-07
469.8	1e-07
470	1e-07
470.2	1e-07
470.4	1e-07
470.6	1e-07
470.8	1e-07
471	1e-07
471.2	1e-07
471.4	1.2031674034575e-07
471.6	1e-07
471.8	1e-07
472	1e-07
472.2	1e-07
472.4	1e-07
472.6	1e-07
472.8	1e-07
473	1e-07
473.2	1e-07
473.4	1e-07
473.6	1e-07
473.8	1e-07
474	1e-07
474.2	1e-07
474.4	1e-07
474.6	1e-07
474.8	1e-07
475	1e-07
475.2	1e-07
475.4	1e-07
475.6	1e-07
475.8	1e-07
476	1e-07
476.2	1e-07
476.4	1e-07
476.6	1e-07
476.8	1e-07
477	1e-07
477.2	1e-07
477.4	1e-07
477.6	1e-07
477.8	1e-07
478	1e-07
478.2	1e-07
478.4	1e-07
478.6	1e-07
478.8	1e-07
479	1e-07
479.2	1e-07
479.4	1e-07
479.6	1e-07
479.8	1e-07
480	1e-07
480.2	1e-07
480.4	1e-07
480.6	1e-07
480.8	1e-07
481	1e-07
481.2	1e-07
481.4	1e-07
481.6	1e-07
481.8	1e-07
482	1e-07
482.2	1e-07
